path,issue_type,details
HDR/10_ENGINEERING/Architecture.md,MISSING_ID,Missing required metadata
HDR/10_ENGINEERING/Implementation_Order.md,LOW_CONTENT,Only 67 words
HDR/10_ENGINEERING/Implementation_Order.md,MISSING_ID,Missing required metadata
HDR/11_ACADEMY/Academy.md,LOW_CONTENT,Only 49 words
HDR/11_ACADEMY/Academy.md,MISSING_ID,Missing required metadata
HDR/11_ACADEMY/Simulations.md,LOW_CONTENT,Only 37 words
HDR/11_ACADEMY/Simulations.md,MISSING_ID,Missing required metadata
HDR/12_LEGACY/Founders_Journal.md,LOW_CONTENT,Only 74 words
HDR/12_LEGACY/Founders_Journal.md,MISSING_ID,Missing required metadata
HDR/12_LEGACY/Evolution.md,LOW_CONTENT,Only 39 words
HDR/12_LEGACY/Evolution.md,MISSING_ID,Missing required metadata
HDR/Registry/Master_Index.md,MISSING_ID,Missing required metadata
HDR/Registry/Master_Index_v0_2.md,MISSING_ID,Missing required metadata
HDR/Registry/Master_Index_v0_3.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/README.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/README.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/README.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/README.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/Coverage_Audit_v0_6_Phase_4_5.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Coverage_Audit_v0_6_Phase_4_5.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Coverage_Audit_v0_6_Phase_4_5.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/Coverage_Audit_v0_6_Phase_4_5.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/CHANGELOG_v0_6.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/CHANGELOG_v0_6.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/CHANGELOG_v0_6.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/CHANGELOG_v0_6.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_6.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_6.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_6.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_6.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_7_corrected.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_7_corrected.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_7_corrected.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/Master_Index_Supplement_v0_7_corrected.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0001_Decision_Operating_System_Identity.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0001_Decision_Operating_System_Identity.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0002_Chief_Risk_Officer_Mission.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0002_Chief_Risk_Officer_Mission.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0003_TradingView_After_Authorization_Principle.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0003_TradingView_After_Authorization_Principle.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0004_Operational_Readiness_Score.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0004_Operational_Readiness_Score.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0005_Mission_Integrity_Score.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0005_Mission_Integrity_Score.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0006_Threat_Level_System.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0006_Threat_Level_System.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0007_Execution_XP.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0007_Execution_XP.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0008_Account_Killer_Score.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0008_Account_Killer_Score.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0009_Edge_Quality_Score.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0009_Edge_Quality_Score.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0010_Outcome_vs_Execution_Separation.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0010_Outcome_vs_Execution_Separation.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0011_Mission_State_Machine.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0011_Mission_State_Machine.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0012_Mission_History_Not_Trade_History.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0012_Mission_History_Not_Trade_History.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0013_Operation_Codename_Generator.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0013_Operation_Codename_Generator.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0014_Learning_Loop_Weekly_Review.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/PH0-0014_Learning_Loop_Weekly_Review.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/Phase_00_to_01_Summary.md,LOW_CONTENT,Only 71 words
HDR/13_PHASE_RECOVERY/Phase_00_to_01/Phase_00_to_01_Summary.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_00_to_01/Phase_00_to_01_Summary.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_00_to_01/Phase_00_to_01_Summary.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/Phase_00_to_01/Phase_00_to_01_Summary.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0001_SOP-001_Mission_Start_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0002_SOP-002_Market_Preparation_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0003_SOP-003_Standby_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0004_SOP-004_Mission_Authorization.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0005_SOP-005_Trade_Management.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0006_SOP-006_Losing_Trade_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0007_SOP-007_Winning_Trade_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0008_SOP-008_Profit_Defense_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0009_SOP-009_Damage_Control_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0010_SOP-010_Weekend_Protocol.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0011_SOP-011_Drawdown_Recovery_Procedure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0012_SOP-012_Winning_Streak_Protocol.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0013_SOP-013_Re-entry_Protocol.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0014_SOP-014_Missed_Trade_Protocol.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0015_SOP_Versioning.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0015_SOP_Versioning.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0016_Rule_Provenance.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0016_Rule_Provenance.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0017_Rule_Book_Living_Operations_Manual.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/PH1-0017_Rule_Book_Living_Operations_Manual.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_01_to_02/Phase_01_to_02_Summary.md,LOW_CONTENT,Only 69 words
HDR/13_PHASE_RECOVERY/Phase_01_to_02/Phase_01_to_02_Summary.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_01_to_02/Phase_01_to_02_Summary.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_01_to_02/Phase_01_to_02_Summary.md,MISSING_DEPENDENCIES,Recovery spec lacks dependencies
HDR/13_PHASE_RECOVERY/Phase_01_to_02/Phase_01_to_02_Summary.md,MISSING_ACCEPTANCE,Recovery spec lacks acceptance criteria
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0001_Four_Command_Structure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0001_Four_Command_Structure.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0002_Commander_Strategic_Role.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0002_Commander_Strategic_Role.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0003_Operations_Officer_Procedural_Role.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0003_Operations_Officer_Procedural_Role.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0004_Intelligence_Officer_Pattern_Role.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0004_Intelligence_Officer_Pattern_Role.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0005_Medical_Officer_Recovery_Role.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0005_Medical_Officer_Recovery_Role.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0006_Historian_Memory_Role.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0006_Historian_Memory_Role.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0007_Archives_Structure.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0007_Archives_Structure.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0008_Dispatches_Instead_of_Notifications.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0008_Dispatches_Instead_of_Notifications.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0009_Mission_Report.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0009_Mission_Report.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0010_Self-Aware_Headquarters.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0010_Self-Aware_Headquarters.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0011_Dynamic_Doctrine_Retirement.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0011_Dynamic_Doctrine_Retirement.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0012_Preserve_Professional_Joe_Mission.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0012_Preserve_Professional_Joe_Mission.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0013_Headquarters_Has_Weight.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0013_Headquarters_Has_Weight.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0014_Headquarters_Exists_Without_You.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0014_Headquarters_Exists_Without_You.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0015_Shift_Change_Ritual.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0015_Shift_Change_Ritual.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0016_Watch_Floor.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0016_Watch_Floor.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0017_Capital_Deployment_Language.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0017_Capital_Deployment_Language.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0018_Mission_Capital_Terminology.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0018_Mission_Capital_Terminology.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0019_Situation_Clock.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0019_Situation_Clock.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0020_Operator_Presence_Detection.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0020_Operator_Presence_Detection.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0021_Environmental_Psychology_State.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0021_Environmental_Psychology_State.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0022_Headquarters_Never_Panics.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0022_Headquarters_Never_Panics.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0023_Tactical_Corridor_Doctrines.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0023_Tactical_Corridor_Doctrines.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0024_No_Good_Luck_Rule.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0024_No_Good_Luck_Rule.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0025_Cost_of_Breaking_Doctrine_Display.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0025_Cost_of_Breaking_Doctrine_Display.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0026_Operator_Shadow.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0026_Operator_Shadow.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0027_Morning_Arrival_Ritual.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0027_Morning_Arrival_Ritual.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0028_Mission_Readiness_Report.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0028_Mission_Readiness_Report.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0029_Deployment_Ritual.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0029_Deployment_Ritual.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0030_Unconscious_Tactical_Breathing.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0030_Unconscious_Tactical_Breathing.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0031_Patience_Acknowledgement.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0031_Patience_Acknowledgement.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0032_Discipline_Ledger.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0032_Discipline_Ledger.md,MISSING_ID,Missing required metadata
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0033_Mission_Temperature.md,MISSING_MIGRATION_TARGET,Recovery item lacks Migration Target
HDR/13_PHASE_RECOVERY/Phase_02_to_03/PH2-0033_Mission_Temperature.md,MISSING_ID,Missing required metadata
