id,name,category,priority,volume,implementation_phase,status,dependencies,notes
HQ-0019,Founder,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Origin philosophy; never appears directly; leaves questions and architectural intent.
HQ-0020,Council,Institution / Department,CORE,02_INSTITUTION,Bravo,REGISTERED,,Institutional consensus layer connecting all departments.
RM-0001,Security Checkpoint,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Identity verified, archives synchronized, departments online, Report for Duty."
RM-0002,Blast Door Entrance,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Five-second hydraulic transition from civilian life to Headquarters.
RM-0003,Transition Corridor,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,No UI; breathing/threshold corridor to slow the operator.
RM-0004,Entrance Hall,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Crest, doctrine wall, campaign flags, department corridors."
RM-0005,Command Center,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,"Mission Board, Command Chair, operations display."
RM-0006,Command Chair,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,Symbolic control point; Professional Joe/Impatient Joe command authority.
RM-0007,Mission Board,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,"Campaign, objective, condition, command authority; no PnL/charts."
RM-0008,Ready Room,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,"Locker, oath, preparation, deployment countdown, unconscious breathing."
RM-0009,Personal Locker,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Constitution, Guardian Seal, campaign orders, compass, oath."
RM-0010,Briefing Table,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,War-table style daily mission preparation and abort conditions.
RM-0011,War Room,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,"Tactical room with campaign map, authorization terminal, Ghost/Guardian positions."
RM-0012,War Table / Campaign Table,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Holographic operational table; mission/campaign/debrief projections.
RM-0013,Authorization Terminal,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,Secure console for Mission Authorization; mechanical stamp output.
RM-0014,Observation Room,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,Minimal room rewarding no-action; observation timer; patience acknowledged.
RM-0015,Observation Balcony,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Perspective view above Headquarters; recommended during drift.
RM-0016,Thinking Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"No charts, no AI; lamp and notebook; separate thinking from execution."
RM-0017,Execution Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Tactical silence; only mission-critical deployment information.
RM-0018,Debrief Theater,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,"Mission replay; behavior first, charts second, PnL last."
RM-0019,Mirror Room,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,Shows who is making decisions: Professional/Impatient/Greedy/Fearful Joe.
RM-0020,AAR Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Headquarters-owned after action review with decision nodes.
RM-0021,Internal Affairs Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"White lighting, evidence table, clarification requests."
RM-0022,Council Chamber,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Hidden institutional deliberation room; operator never enters.
RM-0023,Guardian Wing,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Funded protection wing; vaults, Guardian office, stewardship atmosphere."
RM-0024,Guardian Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Small concrete protective room; no charts; sentence: Protecting capital is today’s victory.
RM-0025,Capital Vault,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,Symbolic vault for entrusted funded capital; no decorative money focus.
RM-0026,Judgment Reserve,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Protected vault representing cognitive judgment reserve.
RM-0027,Trust Vault,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Symbolizes earned trust in Headquarters through correct recommendations.
RM-0028,Steward’s Desk,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Funded-mode room emphasizing custodianship and responsibility.
RM-0029,Hall of Custodians,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Plaques for protected funded accounts; no profit metrics.
RM-0030,Hall of Restraint,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Celebrates disasters avoided and trades not taken.
RM-0031,Hall of Quiet Victories,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Small plates for invisible discipline nobody else sees.
RM-0032,Hall of Honor,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Campaign ribbons and discipline plaques.
RM-0033,Hall of Fallen Missions,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Memorializes blown accounts and lost missions as lessons.
RM-0034,Operation Cemetery,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Failed missions preserved for study, not shame."
RM-0035,Fallen Comrades Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Documents rules ignored and their historical cost.
RM-0036,Situation Wall,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Current enemy, impact, historical cost, last seen, countermeasure."
RM-0037,Situation Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Operational status: operator, doctrine, Guardian, integrity, command, threat."
RM-0038,Intelligence Center,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Pattern reports, leak reports, strengths, suggested actions."
RM-0039,Archives,Building / Room,CORE,03_BUILDING,Bravo/Delta,REGISTERED,,"Mission books, campaign books, doctrine, black boxes, institutional memory."
RM-0040,Quiet Archive,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Only career-defining moments; 30-50 entries over career.
RM-0041,Historian Office,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Historical retrieval, case studies, context, perspective."
RM-0042,Academy,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Professional education and training; not strategy tutorials.
RM-0043,Simulation Chamber,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Historical replay and psychological drills; no broker required.
RM-0044,Strategy Chamber,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Deep queries against career data; intelligence investigations.
RM-0045,Operations Sandbox,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Practice saying no; fake opportunities, restraint training."
RM-0046,Medical Office,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Recovery, fatigue, readiness, cognitive bandwidth."
RM-0047,Recovery Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Warm, low-stimulus cooldown and judgment recovery."
RM-0048,Engineering Department,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Maintenance, audits, doctrine validation, feature reviews."
RM-0049,Systems Laboratory,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Experimental systems isolated from production doctrine.
RM-0050,Research Division Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Hypothesis testing and evidence collection.
RM-0051,Vault / Constitution Hall,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Immutable commandments and SOPs; not editable during combat.
RM-0052,Founder’s Office,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Locked/read-only origin room; Founder questions and why Headquarters exists.
RM-0053,Observatory,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Stars and long-term perspective; career over one mission.
RM-0054,Legacy Vault,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Annual WHY HEADQUARTERS EXISTS document.
RM-0055,Legacy Wall,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Yearly plates of professional development.
RM-0056,Twenty-Year Wall,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Future years reserved, reminding operator of long horizon."
RM-0057,Library,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Lesson books: Early Entries, Weekend Trading, Greed, Funded Psychology."
RM-0058,Doctrine Chamber,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Validated rules engraved into pillars.
RM-0059,Doctrine Cemetery,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Retired rules preserved with honors.
RM-0060,Myth Library,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Unverified beliefs investigated and archived.
RM-0061,Trophy Room,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Behavior evidence, not profit trophies."
RM-0062,Hall of Fallen Giants,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Warnings that success requires maintenance.
RM-0063,Hall of Future Operators,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Possible future selves: Professional, Undisciplined, Burned-out."
RM-0064,Founder’s Wall,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Passed/lost funded accounts and lessons that funded Headquarters.
RM-0065,Eternal Flame / Doctrine Flame,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Symbolizes truth and capital protection commitment.
RM-0066,Empty Chair,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Represents the operator still being built.
RM-0067,Empty Desk,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Reserved for the next lesson.
RM-0068,Armory,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,"Preparation tools: Constitution, SOPs, playbooks, black box, recovery protocols."
RM-0069,Ready Room Lockers,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Gear-up identity ritual for mission orders and equipment check.
RM-0070,Last Door,Building / Room,IMPORTANT,03_BUILDING,Bravo/Delta,REGISTERED,,Return to Civilian Life exit sequence.
SYS-0001,Professional Joe,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Primary target identity; disciplined operator in command.
SYS-0002,Civilian Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Outside-HQ identity; separated by airlock/transition.
SYS-0003,Impatient Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Identity drift state associated with early entries and rushing.
SYS-0004,Greedy Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Identity drift state associated with overconfidence and success risk.
SYS-0005,Fearful Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Identity drift state associated with hesitation and loss recovery.
SYS-0006,Guardian Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Funded/custodian identity: hunter becomes guardian.
SYS-0007,Observer Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Observation-only identity; no deployment pressure.
SYS-0008,Research Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Experimenting only in simulation or paper contexts.
SYS-0009,Instructor Joe,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Review/Academy identity for learning and teaching.
SYS-0010,Command Authority Engine,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Determines who occupies Command Chair.
SYS-0011,Identity Drift Engine,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Measures drift from Professional Joe toward other identities.
SYS-0012,Operator Compass,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Behavioral compass/gyroscope pointing toward Professional Joe/Ghost.
SYS-0013,Artificial Horizon,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Pilot-inspired stability line; tilts during behavioral instability.
SYS-0014,Behavioral Gravity,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Detects pull toward repeating historical destructive behavior.
SYS-0015,Decision DNA,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Behavioral fingerprint of decisions and tempo.
SYS-0016,Mission DNA,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Mission-level composition: patience, preparation, execution, recovery."
SYS-0017,Behavioral Cascades,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Domino chains leading to account danger.
SYS-0018,Precursor Library,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Libraries of sequences that precede major success or failure.
SYS-0019,Behavioral Black Box,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Reconstructs final 60 minutes before serious deviation/account loss.
SYS-0020,Mission Timeline,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Decision-focused timeline of the whole operation.
SYS-0021,Decision Nodes,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Important choice points classified as correct/deviation/learning.
SYS-0022,Point of No Return,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Moment after which self-destruction probability exceeds threshold.
SYS-0023,Intervention Ladder,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Observation → Awareness → Reminder → Guardian → Sentinel → Lockdown.
SYS-0024,Operator Forecast,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Psychological weather report for patience, discipline, overconfidence, FOMO."
SYS-0025,Operational Pressure,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Submarine-style pressure model; hull integrity metaphor.
SYS-0026,Mission Momentum,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Protects rhythm; warns when momentum is compromised.
SYS-0027,Confidence Ceiling,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Optimal confidence zone; maximum confidence is not desired.
SYS-0028,Phrase Library,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Dangerous phrases like “just this once”, “I figured it out”."
SYS-0029,Recovery Signature,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Learns how long Joe needs to regain clarity.
SYS-0030,Decision Integrity Engine,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Grades decision quality independent of outcome.
SYS-0031,Decision Debt,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Accumulated cost of poor decisions before visible damage.
SYS-0032,Discipline Interest,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Compounding effect of disciplined mission sequences.
SYS-0033,Decision Pressure Map,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Heatmap of psychological pressure by time/situation.
SYS-0034,Judgment Reserve,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Tracks judgment as core asset; deposits/withdrawals.
SYS-0035,Decision Latency,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Timing signature of professional vs emotional decisions.
SYS-0036,Noise Floor,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Personal threshold where mental noise degrades decisions.
SYS-0037,Mental Environment Monitor,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Classifies noise increasing / stable / calm.
SYS-0038,Cognitive Bandwidth,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Available mental capacity across decisions.
SYS-0039,Operational Load,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Workload model replacing generic stress.
SYS-0040,Discipline Reserve,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Behavioral battery / reserve of control.
SYS-0041,Patience Meter,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Hidden measure of comfort while waiting.
SYS-0042,Synchronization System,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Environment nudges tempo/breathing toward calm.
SYS-0043,Tactical Breathing,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Unconscious breathing guided by radar sweep/light pulse.
SYS-0044,Mission Temperature,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Cold/calm/controlled vs rising/monitor behavior.
SYS-0045,Trust Index,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Evidence-based self-trust through plan-following history.
SYS-0046,Trust Vault Deposits,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Trust deposit/withdrawal model for self-relationship.
SYS-0047,Stewardship Engine,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Entrusted capital / custodian mindset.
SYS-0048,Capital Integrity,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Measures ethical protection of capital, not balance."
SYS-0049,Guardian Integrity,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Funded-mode integrity and days since compromise.
SYS-0050,Command Ledger,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Minutes Professional/Fear/Greed/Urgency were in command.
SYS-0051,Headquarters Integrity,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Institutional integrity degraded by dishonesty/skipped reviews, not losses."
SYS-0052,Mission Integrity,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Did operator follow mission plan regardless of PnL.
SYS-0053,Operational Readiness Score,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Fit-to-trade readiness from sleep/stress/confidence/recent behavior.
SYS-0054,Threat Level / DEFCON,Operator / Behavior System,CORE,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Green/Yellow/Orange/Red/Black behavior risk state.
SYS-0055,Account Killer Score,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Detects history-linked account-destroying patterns.
SYS-0056,Edge Quality Score,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Setup quality from doctrine evidence, not market prediction."
SYS-0057,Execution XP,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,"Rewards process: good skips, debriefs, no-trade days."
SYS-0058,Legacy Projection,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Shows career trajectory of repeated behaviors.
SYS-0059,Career Constitution,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Evidence-written personal laws over years.
SYS-0060,Personal Laws of Nature,Operator / Behavior System,IMPORTANT,04_OPERATOR / 06_INTELLIGENCE,Charlie,REGISTERED,,Long-term performance laws discovered after thousands of missions.
OPS-0001,Mission Lifecycle,Operations / Protocol / Doctrine,CORE,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Arrival → Preparation → Observation → Authorization → Deployment → Management → Return → Debrief → Archive → Recovery.
OPS-0002,Campaign Lifecycle,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Weeks/months objectives such as Iron Patience or Guardian.
OPS-0003,Funded Mode / Guardian Protocol,Operations / Protocol / Doctrine,CORE,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,"Dark, stricter mode for entrusted capital and stewardship."
OPS-0004,Success Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,"After +2R/+3R/+5R, mission shifts from grow to protect."
OPS-0005,Operation Sunset,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Return to Base after objective achieved; protect progress.
OPS-0006,Golden Week Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,"After exceptional streak/week, stricter rules to avoid giving back."
OPS-0007,Weekend Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Funded Mode weekend deployment denied or locked.
OPS-0008,Profit Defense Procedure,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Reduces aggression after wins; A+ only after thresholds.
OPS-0009,Damage Control Procedure,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,1 loss slow down; 2 losses A+ only; 3 losses suspend/cooldown.
OPS-0010,Drawdown Recovery Procedure,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,"Half risk, max one A+ trade, no chasing/re-entry."
OPS-0011,Winning Streak Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,"No size increase, max one more trade, no experimental setups."
OPS-0012,Re-entry Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Requires material structure change and new authorization; 2-5 candle wait.
OPS-0013,Missed Trade Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Trade missed = no action required; reward not chasing.
OPS-0014,Observation Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Observation-only room/mode; no trading controls; patience recognized.
OPS-0015,Authorization Protocol,Operations / Protocol / Doctrine,CORE,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,"Evidence for/against, reason not to trade, score/approval."
OPS-0016,Override Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Delay + typed operational justification; reviewed later.
OPS-0017,Lockdown Mode,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Operations suspended with timer after high-risk behavior.
OPS-0018,Red Button / Emergency Protocol,Operations / Protocol / Doctrine,IMPORTANT,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,Immediate 20-minute walk-away and revenge-trade reminder.
OPS-0019,Return to Base,Operations / Protocol / Doctrine,CORE,05_OPERATIONS / 01_CONSTITUTION,Bravo/Charlie,REGISTERED,,End mission / secure victory / civilian transition.
