id,title,path,volume,category,priority,status
,Behavioral Systems,04_OPERATOR/Behavioral_Systems.md,04_OPERATOR,,,
,Stewardship,04_OPERATOR/Stewardship.md,04_OPERATOR,,,
,Mission Lifecycle,05_OPERATIONS/Mission_Lifecycle.md,05_OPERATIONS,,,
,Guardian Protocol,05_OPERATIONS/Guardian_Protocol.md,05_OPERATIONS,,,
,Mission Authorization,05_OPERATIONS/Authorization.md,05_OPERATIONS,,,
,Debrief,05_OPERATIONS/Debrief.md,05_OPERATIONS,,,
,Campaigns,05_OPERATIONS/Campaigns.md,05_OPERATIONS,,,
,Cognitive Architecture,06_INTELLIGENCE/Cognitive_Architecture.md,06_INTELLIGENCE,,,
,AI Systems,06_INTELLIGENCE/AI_Systems.md,06_INTELLIGENCE,,,
,Behavioral Black Box,06_INTELLIGENCE/Behavioral_Black_Box.md,06_INTELLIGENCE,,,
,Ghost,06_INTELLIGENCE/Ghost.md,06_INTELLIGENCE,,,
,Headquarters Operating System,07_HQOS/HQOS.md,07_HQOS,,,
,Event Bus,07_HQOS/Event_Bus.md,07_HQOS,,,
,State Engine,07_HQOS/State_Engine.md,07_HQOS,,,
,Archives,08_ARCHIVES/Archives.md,08_ARCHIVES,,,
,SQLite Schema Draft,08_ARCHIVES/SQLite_Schema_Draft.md,08_ARCHIVES,,,
,Interface Principles,09_INTERFACE/Interface_Principles.md,09_INTERFACE,,,
,Engineering Architecture,10_ENGINEERING/Architecture.md,10_ENGINEERING,,,
,Implementation Order,10_ENGINEERING/Implementation_Order.md,10_ENGINEERING,,,
,Academy,11_ACADEMY/Academy.md,11_ACADEMY,,,
,Simulations,11_ACADEMY/Simulations.md,11_ACADEMY,,,
,Founder's Journal,12_LEGACY/Founders_Journal.md,12_LEGACY,,,
,Evolution,12_LEGACY/Evolution.md,12_LEGACY,,,
,Master Index,Registry/Master_Index.md,Registry,,,
,Headquarters Master Index v0.2,Registry/Master_Index_v0_2.md,Registry,,,
,Headquarters Master Index v0.3,Registry/Master_Index_v0_3.md,Registry,,,
EVOL-0001,EVOL-0001 — Evolution Doctrine,12_LEGACY/Evolution_Doctrine/EVOL-0001_Evolution_Doctrine.md,12_LEGACY,Legacy / Evolution,CORE,Registered
EVOL-0002,EVOL-0002 — Doctrine Updates Instead of Feature Updates,12_LEGACY/Evolution_Doctrine/EVOL-0002_Doctrine_Updates_Instead_of_Feature_Updates.md,12_LEGACY,Legacy / Versioning,CORE,Registered
EVOL-0003,EVOL-0003 — Update Story Requirement,12_LEGACY/Evolution_Doctrine/EVOL-0003_Update_Story_Requirement.md,12_LEGACY,Legacy / Versioning,IMPORTANT,Registered
EVOL-0004,EVOL-0004 — History Never Deleted Rule,12_LEGACY/Evolution_Doctrine/EVOL-0004_History_Never_Deleted_Rule.md,12_LEGACY,Archives / Preservation,CORE,Registered
EVOL-0005,EVOL-0005 — Archive Security Doctrine,12_LEGACY/Evolution_Doctrine/EVOL-0005_Archive_Security_Doctrine.md,12_LEGACY,Archives / Integrity,CORE,Registered
EVOL-0006,EVOL-0006 — Headquarters Promotion System,12_LEGACY/Evolution_Doctrine/EVOL-0006_Headquarters_Promotion_System.md,12_LEGACY,Legacy / Institution,IMPORTANT,Registered
EVOL-0007,EVOL-0007 — Constitutional Amendment Process,12_LEGACY/Evolution_Doctrine/EVOL-0007_Constitutional_Amendment_Process.md,12_LEGACY,Constitution / Governance,CORE,Registered
EVOL-0008,EVOL-0008 — Foundational Cases,12_LEGACY/Evolution_Doctrine/EVOL-0008_Foundational_Cases.md,12_LEGACY,Archives / Case Law,IMPORTANT,Registered
EVOL-0009,EVOL-0009 — Institutional Myths,12_LEGACY/Evolution_Doctrine/EVOL-0009_Institutional_Myths.md,12_LEGACY,Legacy / Culture,IMPORTANT,Registered
EVOL-0010,EVOL-0010 — Self-Correcting Institution,12_LEGACY/Evolution_Doctrine/EVOL-0010_Self_Correcting_Institution.md,12_LEGACY,Engineering / Feedback,CORE,Registered
EVOL-0011,EVOL-0011 — Wisdom Threshold,12_LEGACY/Evolution_Doctrine/EVOL-0011_Wisdom_Threshold.md,12_LEGACY,Doctrine / Evidence,CORE,Registered
EVOL-0012,EVOL-0012 — Living Doctrine Pages,12_LEGACY/Evolution_Doctrine/EVOL-0012_Living_Doctrine_Pages.md,12_LEGACY,Archives / Doctrine,CORE,Registered
EVOL-0013,EVOL-0013 — Hall of Architects,12_LEGACY/Evolution_Doctrine/EVOL-0013_Hall_of_Architects.md,12_LEGACY,Engineering / Legacy,IMPORTANT,Registered
EVOL-0014,EVOL-0014 — Technology Serves Doctrine Rule,12_LEGACY/Evolution_Doctrine/EVOL-0014_Technology_Serves_Doctrine_Rule.md,12_LEGACY,Engineering / Longevity,CORE,Registered
EVOL-0015,EVOL-0015 — Legacy Clock,12_LEGACY/Evolution_Doctrine/EVOL-0015_Legacy_Clock.md,12_LEGACY,Legacy / Continuity,OPTIONAL,Registered
EVOL-0016,EVOL-0016 — Founder Never Replaced Rule,12_LEGACY/Evolution_Doctrine/EVOL-0016_Founder_Never_Replaced_Rule.md,12_LEGACY,Legacy / Founder,CORE,Registered
EVOL-0017,EVOL-0017 — Outlive Creator Principle,12_LEGACY/Evolution_Doctrine/EVOL-0017_Outlive_Creator_Principle.md,12_LEGACY,Legacy / Institution,IMPORTANT,Registered
EVOL-0018,EVOL-0018 — Why Headquarters Exists Document,12_LEGACY/Evolution_Doctrine/EVOL-0018_Why_Headquarters_Exists_Document.md,12_LEGACY,Legacy / Annual,IMPORTANT,Registered
PH2-0022,PH2-0022 — Founder Oath,12_LEGACY/Founder/PH2-0022_Founder_Oath.md,12_LEGACY,Ritual,FOUNDATIONAL,SPECIFIED
PH2-0025,PH2-0025 — Founder Notes and Questions,12_LEGACY/Founder/PH2-0025_Founder_Notes_and_Questions.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH2-0058,PH2-0058 — Founder Wall Lost Accounts,12_LEGACY/Founder/PH2-0058_Founder_Wall_Lost_Accounts.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH2-0060,PH2-0060 — Founders Oath,12_LEGACY/Founder/PH2-0060_Founders_Oath.md,12_LEGACY,Ceremony,CORE,SPECIFIED
REC-0794,REC-0794 — Founder Questions,12_LEGACY/Founder/REC-0794_Founder_Questions.md,12_LEGACY,Legacy,P1,Recovered / Specification Draft
REC-0795,REC-0795 — Founders Journal,12_LEGACY/Founder/REC-0795_Founders_Journal.md,12_LEGACY,Legacy,P0,Recovered / Specification Draft
PH3-0019,PH3-0019 — Project Naming Evolution,12_LEGACY/Evolution/PH3-0019_Project_Naming_Evolution.md,12_LEGACY,Legacy,OPTIONAL,SPECIFIED
PH4-0020,PH4-0020 — Headquarters Naming Evolution,12_LEGACY/Evolution/PH4-0020_Headquarters_Naming_Evolution.md,12_LEGACY,Legacy,OPTIONAL,SPECIFIED
PH6-0100,PH6-0100 — Headquarters Evolution Law,12_LEGACY/Evolution/PH6-0100_Headquarters_Evolution_Law.md,12_LEGACY,Legacy,CORE,SPECIFIED
PH2-0036,PH2-0036 — Legacy Scale,12_LEGACY/Long_Term/PH2-0036_Legacy_Scale.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH2-0057,PH2-0057 — Founding Story,12_LEGACY/Long_Term/PH2-0057_Founding_Story.md,12_LEGACY,Legacy,CORE,SPECIFIED
PH2-0145,PH2-0145 — Legacy Protocol,12_LEGACY/Long_Term/PH2-0145_Legacy_Protocol.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH2-0146,PH2-0146 — Career Projection,12_LEGACY/Long_Term/PH2-0146_Career_Projection.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH4-0066,PH4-0066 — Legacy Engine,12_LEGACY/Long_Term/PH4-0066_Legacy_Engine.md,12_LEGACY,System,IMPORTANT,SPECIFIED
PH5-0015,PH5-0015 — Legacy Engine,12_LEGACY/Long_Term/PH5-0015_Legacy_Engine.md,12_LEGACY,Legacy,CORE,SPECIFIED
PH5-0030,PH5-0030 — Legacy Tree,12_LEGACY/Long_Term/PH5-0030_Legacy_Tree.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH5-0078,PH5-0078 — Legacy Wall,12_LEGACY/Long_Term/PH5-0078_Legacy_Wall.md,12_LEGACY,Legacy,IMPORTANT,SPECIFIED
PH6-0073,PH6-0073 — Legacy Transfer,12_LEGACY/Long_Term/PH6-0073_Legacy_Transfer.md,12_LEGACY,Legacy,OPTIONAL,SPECIFIED
PH6-0086,PH6-0086 — Capsule Ceremony,12_LEGACY/Long_Term/PH6-0086_Capsule_Ceremony.md,12_LEGACY,Legacy,OPTIONAL,SPECIFIED
REC-0627,REC-0627 — Legacy Transfer,12_LEGACY/Long_Term/REC-0627_Legacy_Transfer.md,12_LEGACY,Legacy,P1,Recovered / Specification Draft
REC-0762,REC-0762 — Foundational Cases,12_LEGACY/Long_Term/REC-0762_Foundational_Cases.md,12_LEGACY,Legacy,P1,Recovered / Specification Draft
REC-0763,REC-0763 — Wisdom Threshold,12_LEGACY/Long_Term/REC-0763_Wisdom_Threshold.md,12_LEGACY,Legacy,P0,Recovered / Specification Draft
REC-0793,REC-0793 — Twenty Year Wall,12_LEGACY/Long_Term/REC-0793_Twenty_Year_Wall.md,12_LEGACY,Legacy,P2,Recovered / Specification Draft
REC-0803,REC-0803 — Simulation Without Broker,11_ACADEMY/Simulations/REC-0803_Simulation_Without_Broker.md,11_ACADEMY,Academy,P1,Recovered / Specification Draft
PH0-0014,PH0-0014 — Learning Loop Weekly Review,11_ACADEMY/Training_Protocols/PH0-0014_Learning_Loop_Weekly_Review.md,11_ACADEMY,Academy,CORE,SPECIFIED
PH5-0056,PH5-0056 — Operations Sandbox,11_ACADEMY/Training_Protocols/PH5-0056_Operations_Sandbox.md,11_ACADEMY,Academy,IMPORTANT,SPECIFIED
REC-0806,REC-0806 — Research Division Isolation,11_ACADEMY/Training_Protocols/REC-0806_Research_Division_Isolation.md,11_ACADEMY,Academy,P1,Recovered / Specification Draft
ELEG-0001,ELEG-0001 — Five Gates Review,10_ENGINEERING/Elegance/ELEG-0001_Five_Gates_Review.md,10_ENGINEERING,Engineering / Review,CORE,Registered
ELEG-0002,ELEG-0002 — Museum Test,10_ENGINEERING/Elegance/ELEG-0002_Museum_Test.md,10_ENGINEERING,Engineering / Longevity,IMPORTANT,Registered
ELEG-0003,ELEG-0003 — Uniform Rule,10_ENGINEERING/Elegance/ELEG-0003_Uniform_Rule.md,10_ENGINEERING,Design / Meaning,IMPORTANT,Registered
ELEG-0004,ELEG-0004 — Empty Space Confidence Rule,10_ENGINEERING/Elegance/ELEG-0004_Empty_Space_Confidence_Rule.md,10_ENGINEERING,Design / Simplicity,CORE,Registered
ELEG-0005,ELEG-0005 — Wall Test,10_ENGINEERING/Elegance/ELEG-0005_Wall_Test.md,10_ENGINEERING,Design / Simplicity,IMPORTANT,Registered
ELEG-0006,ELEG-0006 — One Purpose Per Room,10_ENGINEERING/Elegance/ELEG-0006_One_Purpose_Per_Room.md,10_ENGINEERING,Building / Simplicity,CORE,Registered
ELEG-0007,ELEG-0007 — Architecture Does Not Explain Itself,10_ENGINEERING/Elegance/ELEG-0007_Architecture_Does_Not_Explain_Itself.md,10_ENGINEERING,Design / Experience,IMPORTANT,Registered
ELEG-0008,ELEG-0008 — Mental Weight Rule,10_ENGINEERING/Elegance/ELEG-0008_Mental_Weight_Rule.md,10_ENGINEERING,Design / Attention,IMPORTANT,Registered
ELEG-0009,ELEG-0009 — Feature Retirement Ceremony,10_ENGINEERING/Elegance/ELEG-0009_Feature_Retirement_Ceremony.md,10_ENGINEERING,Engineering / Evolution,IMPORTANT,Registered
ELEG-0010,ELEG-0010 — Engineering Restraint Rule,10_ENGINEERING/Elegance/ELEG-0010_Engineering_Restraint_Rule.md,10_ENGINEERING,Engineering / Culture,CORE,Registered
ELEG-0011,ELEG-0011 — Attention Protection Doctrine,10_ENGINEERING/Elegance/ELEG-0011_Attention_Protection_Doctrine.md,10_ENGINEERING,Design / Attention,CORE,Registered
ELEG-0012,ELEG-0012 — Thirty Year Test,10_ENGINEERING/Elegance/ELEG-0012_Thirty_Year_Test.md,10_ENGINEERING,Engineering / Longevity,CORE,Registered
ELEG-0013,ELEG-0013 — Zero Onboarding Discovery,10_ENGINEERING/Elegance/ELEG-0013_Zero_Onboarding_Discovery.md,10_ENGINEERING,Experience / Onboarding,OPTIONAL,Registered
PH0-0010,PH0-0010 — Outcome vs Execution Separation,10_ENGINEERING/Architecture/PH0-0010_Outcome_vs_Execution_Separation.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH0-0013,PH0-0013 — Operation Codename Generator,10_ENGINEERING/Architecture/PH0-0013_Operation_Codename_Generator.md,10_ENGINEERING,Experience,IMPORTANT,SPECIFIED
PH2-0003,PH2-0003 — Theater System,10_ENGINEERING/Architecture/PH2-0003_Theater_System.md,10_ENGINEERING,Operations,IMPORTANT,SPECIFIED
PH2-0004,PH2-0004 — Tactical Silence,10_ENGINEERING/Architecture/PH2-0004_Tactical_Silence.md,10_ENGINEERING,Experience,CORE,SPECIFIED
PH2-0005,PH2-0005 — Background State Changes,10_ENGINEERING/Architecture/PH2-0005_Background_State_Changes.md,10_ENGINEERING,Environment,IMPORTANT,SPECIFIED
PH2-0017,PH2-0017 — Psychological Decompression,10_ENGINEERING/Architecture/PH2-0017_Psychological_Decompression.md,10_ENGINEERING,Ritual,IMPORTANT,SPECIFIED
PH2-0018,PH2-0018 — Dynamic Headquarters Threat Atmosphere,10_ENGINEERING/Architecture/PH2-0018_Dynamic_Headquarters_Threat_Atmosphere.md,10_ENGINEERING,Environment,CORE,SPECIFIED
PH1-0002,PH1-0002 — SOP-002 Market Preparation Procedure,10_ENGINEERING/Architecture/PH1-0002_SOP_002_Market_Preparation_Procedure.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0003,PH1-0003 — SOP-003 Standby Procedure,10_ENGINEERING/Architecture/PH1-0003_SOP_003_Standby_Procedure.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0005,PH1-0005 — SOP-005 Trade Management,10_ENGINEERING/Architecture/PH1-0005_SOP_005_Trade_Management.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0006,PH1-0006 — SOP-006 Losing Trade Procedure,10_ENGINEERING/Architecture/PH1-0006_SOP_006_Losing_Trade_Procedure.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0007,PH1-0007 — SOP-007 Winning Trade Procedure,10_ENGINEERING/Architecture/PH1-0007_SOP_007_Winning_Trade_Procedure.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0008,PH1-0008 — SOP-008 Profit Defense Procedure,10_ENGINEERING/Architecture/PH1-0008_SOP_008_Profit_Defense_Procedure.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0009,PH1-0009 — SOP-009 Damage Control Procedure,10_ENGINEERING/Architecture/PH1-0009_SOP_009_Damage_Control_Procedure.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0010,PH1-0010 — SOP-010 Weekend Protocol,10_ENGINEERING/Architecture/PH1-0010_SOP_010_Weekend_Protocol.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0012,PH1-0012 — SOP-012 Winning Streak Protocol,10_ENGINEERING/Architecture/PH1-0012_SOP_012_Winning_Streak_Protocol.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0013,PH1-0013 — SOP-013 Re-entry Protocol,10_ENGINEERING/Architecture/PH1-0013_SOP_013_Re_entry_Protocol.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH1-0014,PH1-0014 — SOP-014 Missed Trade Protocol,10_ENGINEERING/Architecture/PH1-0014_SOP_014_Missed_Trade_Protocol.md,10_ENGINEERING,SOP,CORE,SPECIFIED
PH2-0013,PH2-0013 — Headquarters Has Weight,10_ENGINEERING/Architecture/PH2-0013_Headquarters_Has_Weight.md,10_ENGINEERING,Experience,IMPORTANT,SPECIFIED
PH2-0014,PH2-0014 — Headquarters Exists Without You,10_ENGINEERING/Architecture/PH2-0014_Headquarters_Exists_Without_You.md,10_ENGINEERING,Experience,IMPORTANT,SPECIFIED
PH2-0015,PH2-0015 — Shift Change Ritual,10_ENGINEERING/Architecture/PH2-0015_Shift_Change_Ritual.md,10_ENGINEERING,Ceremony,IMPORTANT,SPECIFIED
PH2-0024,PH2-0024 — No Good Luck Rule,10_ENGINEERING/Architecture/PH2-0024_No_Good_Luck_Rule.md,10_ENGINEERING,Language,FOUNDATIONAL,SPECIFIED
PH2-0027,PH2-0027 — Morning Arrival Ritual,10_ENGINEERING/Architecture/PH2-0027_Morning_Arrival_Ritual.md,10_ENGINEERING,Ceremony,CORE,SPECIFIED
PH2-0032,PH2-0032 — Discipline Ledger,10_ENGINEERING/Architecture/PH2-0032_Discipline_Ledger.md,10_ENGINEERING,Operations,IMPORTANT,SPECIFIED
PH2-0038,PH2-0038 — Courage Documented,10_ENGINEERING/Architecture/PH2-0038_Courage_Documented.md,10_ENGINEERING,Recognition,IMPORTANT,SPECIFIED
PH2-0044,PH2-0044 — Pulse System,10_ENGINEERING/Architecture/PH2-0044_Pulse_System.md,10_ENGINEERING,Environment,IMPORTANT,SPECIFIED
PH2-0045,PH2-0045 — Synchronization Moment,10_ENGINEERING/Architecture/PH2-0045_Synchronization_Moment.md,10_ENGINEERING,Experience,IMPORTANT,SPECIFIED
PH2-0047,PH2-0047 — Reverse Countdown Override,10_ENGINEERING/Architecture/PH2-0047_Reverse_Countdown_Override.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH2-0050,PH2-0050 — Welcome Home Return,10_ENGINEERING/Architecture/PH2-0050_Welcome_Home_Return.md,10_ENGINEERING,Ceremony,IMPORTANT,SPECIFIED
PH2-0053,PH2-0053 — Silence As Approval,10_ENGINEERING/Architecture/PH2-0053_Silence_As_Approval.md,10_ENGINEERING,Experience,FOUNDATIONAL,SPECIFIED
PH2-0062,PH2-0062 — Night Watch,10_ENGINEERING/Architecture/PH2-0062_Night_Watch.md,10_ENGINEERING,Operations,IMPORTANT,SPECIFIED
PH2-0070,PH2-0070 — Headquarters Crest Quadrants,10_ENGINEERING/Architecture/PH2-0070_Headquarters_Crest_Quadrants.md,10_ENGINEERING,Brand,IMPORTANT,SPECIFIED
PH2-0071,PH2-0071 — Latin Motto Options,10_ENGINEERING/Architecture/PH2-0071_Latin_Motto_Options.md,10_ENGINEERING,Brand,OPTIONAL,SPECIFIED
PH2-0075,PH2-0075 — Headquarters Seasons,10_ENGINEERING/Architecture/PH2-0075_Headquarters_Seasons.md,10_ENGINEERING,Environment,OPTIONAL,SPECIFIED
PH2-0079,PH2-0079 — Habit Retirement Ceremony,10_ENGINEERING/Architecture/PH2-0079_Habit_Retirement_Ceremony.md,10_ENGINEERING,Ceremony,IMPORTANT,SPECIFIED
PH2-0088,PH2-0088 — Shift Log,10_ENGINEERING/Architecture/PH2-0088_Shift_Log.md,10_ENGINEERING,Operations,IMPORTANT,SPECIFIED
PH2-0090,PH2-0090 — Situation Report,10_ENGINEERING/Architecture/PH2-0090_Situation_Report.md,10_ENGINEERING,Operations,IMPORTANT,SPECIFIED
PH2-0095,PH2-0095 — Operations Flag,10_ENGINEERING/Architecture/PH2-0095_Operations_Flag.md,10_ENGINEERING,Environment,IMPORTANT,SPECIFIED
PH2-0100,PH2-0100 — Take Command Tradition,10_ENGINEERING/Architecture/PH2-0100_Take_Command_Tradition.md,10_ENGINEERING,Ceremony,CORE,SPECIFIED
PH2-0101,PH2-0101 — Lights Activation Order,10_ENGINEERING/Architecture/PH2-0101_Lights_Activation_Order.md,10_ENGINEERING,Environment,IMPORTANT,SPECIFIED
PH3-0002,PH3-0002 — Expensive Not Luxurious,10_ENGINEERING/Architecture/PH3-0002_Expensive_Not_Luxurious.md,10_ENGINEERING,Design,IMPORTANT,SPECIFIED
PH3-0009,PH3-0009 — Headquarters Language Dictionary,10_ENGINEERING/Architecture/PH3-0009_Headquarters_Language_Dictionary.md,10_ENGINEERING,Language,CORE,SPECIFIED
PH6-0012,PH6-0012 — Living SOP,10_ENGINEERING/Architecture/PH6-0012_Living_SOP.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH6-0051,PH6-0051 — Command Transfer Ceremony,10_ENGINEERING/Architecture/PH6-0051_Command_Transfer_Ceremony.md,10_ENGINEERING,Experience,IMPORTANT,SPECIFIED
PH6-0052,PH6-0052 — Rules of Engagement,10_ENGINEERING/Architecture/PH6-0052_Rules_of_Engagement.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH6-0057,PH6-0057 — Operational Readiness Conditions,10_ENGINEERING/Architecture/PH6-0057_Operational_Readiness_Conditions.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH6-0065,PH6-0065 — Headquarters Exists When Market Closed,10_ENGINEERING/Architecture/PH6-0065_Headquarters_Exists_When_Market_Closed.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH6-0066,PH6-0066 — Operations Calendar,10_ENGINEERING/Architecture/PH6-0066_Operations_Calendar.md,10_ENGINEERING,Operations,IMPORTANT,SPECIFIED
PH6-0069,PH6-0069 — Silence As Approval,10_ENGINEERING/Architecture/PH6-0069_Silence_As_Approval.md,10_ENGINEERING,Experience,CORE,SPECIFIED
PH6-0070,PH6-0070 — Observation Protocol,10_ENGINEERING/Architecture/PH6-0070_Observation_Protocol.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH6-0071,PH6-0071 — Invisible Victories Recognition,10_ENGINEERING/Architecture/PH6-0071_Invisible_Victories_Recognition.md,10_ENGINEERING,Recognition,CORE,SPECIFIED
PH6-0089,PH6-0089 — Time Architecture,10_ENGINEERING/Architecture/PH6-0089_Time_Architecture.md,10_ENGINEERING,Operations,CORE,SPECIFIED
PH6-0091,PH6-0091 — Long War Perspective,10_ENGINEERING/Architecture/PH6-0091_Long_War_Perspective.md,10_ENGINEERING,Psychology,CORE,SPECIFIED
PH6-0093,PH6-0093 — Strategic Patience,10_ENGINEERING/Architecture/PH6-0093_Strategic_Patience.md,10_ENGINEERING,Psychology,IMPORTANT,SPECIFIED
REC-0620,REC-0620 — Headquarters Exists When Market Closed,10_ENGINEERING/Architecture/REC-0620_Headquarters_Exists_When_Market_Closed.md,10_ENGINEERING,Operations,P1,Recovered / Specification Draft
REC-0621,REC-0621 — Operations Calendar,10_ENGINEERING/Architecture/REC-0621_Operations_Calendar.md,10_ENGINEERING,Operations,P1,Recovered / Specification Draft
REC-0624,REC-0624 — Observation Protocol,10_ENGINEERING/Architecture/REC-0624_Observation_Protocol.md,10_ENGINEERING,Operations,P1,Recovered / Specification Draft
REC-0651,REC-0651 — Arrival Report,10_ENGINEERING/Architecture/REC-0651_Arrival_Report.md,10_ENGINEERING,Operations,P0,Recovered / Specification Draft
REC-0652,REC-0652 — Operational State Classification,10_ENGINEERING/Architecture/REC-0652_Operational_State_Classification.md,10_ENGINEERING,Operations,P0,Recovered / Specification Draft
REC-0655,REC-0655 — Command Seal,10_ENGINEERING/Architecture/REC-0655_Command_Seal.md,10_ENGINEERING,Operations,P1,Recovered / Specification Draft
REC-0740,REC-0740 — Rhythm Engine,10_ENGINEERING/Architecture/REC-0740_Rhythm_Engine.md,10_ENGINEERING,Operations,P0,Recovered / Specification Draft
PH6-0043,PH6-0043 — Founder Test,10_ENGINEERING/Testing/PH6-0043_Founder_Test.md,10_ENGINEERING,Legacy,CORE,SPECIFIED
REC-0684,REC-0684 — Graduation Test,10_ENGINEERING/Testing/REC-0684_Graduation_Test.md,10_ENGINEERING,Academy,P2,Recovered / Specification Draft
,Core Screens,09_INTERFACE/Screens/Core_Screens.md,09_INTERFACE,,,
PH2-0008,PH2-0008 — Dispatches Instead of Notifications,09_INTERFACE/Screens/PH2-0008_Dispatches_Instead_of_Notifications.md,09_INTERFACE,Interface,IMPORTANT,SPECIFIED
PH2-0019,PH2-0019 — Situation Clock,09_INTERFACE/Screens/PH2-0019_Situation_Clock.md,09_INTERFACE,Interface,IMPORTANT,SPECIFIED
PH2-0052,PH2-0052 — Quiet Victory Recognition,09_INTERFACE/Screens/PH2-0052_Quiet_Victory_Recognition.md,09_INTERFACE,Recognition,IMPORTANT,SPECIFIED
PH2-0055,PH2-0055 — Headquarters Established Splash,09_INTERFACE/Screens/PH2-0055_Headquarters_Established_Splash.md,09_INTERFACE,Interface,IMPORTANT,SPECIFIED
PH2-0104,PH2-0104 — Equipment Check,09_INTERFACE/Screens/PH2-0104_Equipment_Check.md,09_INTERFACE,Operations,CORE,SPECIFIED
