id,title,category,source_path,canonical_path,target_volume,status,priority,stability
PH0-0011,PH0-0011 — Mission State Machine,HQOS,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0011_Mission_State_Machine.md,05_OPERATIONS/Mission_Lifecycle/PH0-0011_Mission_State_Machine.md,05_OPERATIONS,normalized,CORE,
PH0-0012,PH0-0012 — Mission History Not Trade History,Archives,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0012_Mission_History_Not_Trade_History.md,05_OPERATIONS/Mission_Lifecycle/PH0-0012_Mission_History_Not_Trade_History.md,05_OPERATIONS,normalized,CORE,
PH0-0013,PH0-0013 — Operation Codename Generator,Experience,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0013_Operation_Codename_Generator.md,10_ENGINEERING/Architecture/PH0-0013_Operation_Codename_Generator.md,10_ENGINEERING,normalized,IMPORTANT,
PH0-0014,PH0-0014 — Learning Loop Weekly Review,Academy,13_PHASE_RECOVERY/Phase_00_to_01/PH0-0014_Learning_Loop_Weekly_Review.md,11_ACADEMY/Training_Protocols/PH0-0014_Learning_Loop_Weekly_Review.md,11_ACADEMY,normalized,CORE,
PH2-0001,PH2-0001 — Cold Boot Sequence,Experience,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0001_Cold_Boot_Sequence.md,07_HQOS/Kernel/PH2-0001_Cold_Boot_Sequence.md,07_HQOS,normalized,CORE,
PH2-0002,PH2-0002 — Operator Identity File,Operator,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0002_Operator_Identity_File.md,04_OPERATOR/Identity/PH2-0002_Operator_Identity_File.md,04_OPERATOR,normalized,CORE,
PH2-0003,PH2-0003 — Theater System,Operations,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0003_Theater_System.md,10_ENGINEERING/Architecture/PH2-0003_Theater_System.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0004,PH2-0004 — Tactical Silence,Experience,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0004_Tactical_Silence.md,10_ENGINEERING/Architecture/PH2-0004_Tactical_Silence.md,10_ENGINEERING,normalized,CORE,
PH2-0005,PH2-0005 — Background State Changes,Environment,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0005_Background_State_Changes.md,10_ENGINEERING/Architecture/PH2-0005_Background_State_Changes.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0006,PH2-0006 — Room-Based Navigation,Building,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0006_Room-Based_Navigation.md,03_BUILDING/Rooms/PH2-0006_Room_Based_Navigation.md,03_BUILDING,normalized,CORE,
PH2-0007,PH2-0007 — Secure Door Transition,Environment,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0007_Secure_Door_Transition.md,03_BUILDING/Rooms/PH2-0007_Secure_Door_Transition.md,03_BUILDING,normalized,IMPORTANT,
PH2-0008,PH2-0008 — Commander Voice Profile,Audio/AI,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0008_Commander_Voice_Profile.md,02_INSTITUTION/Departments/PH2-0008_Commander_Voice_Profile.md,02_INSTITUTION,normalized,CORE,
PH2-0009,PH2-0009 — Operations Officer Voice Profile,Audio/AI,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0009_Operations_Officer_Voice_Profile.md,02_INSTITUTION/Departments/PH2-0009_Operations_Officer_Voice_Profile.md,02_INSTITUTION,normalized,IMPORTANT,
PH2-0010,PH2-0010 — Commander Message Rarity,AI,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0010_Commander_Message_Rarity.md,02_INSTITUTION/Departments/PH2-0010_Commander_Message_Rarity.md,02_INSTITUTION,normalized,CORE,
PH2-0011,PH2-0011 — Mirror Room,Room/Operator,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0011_Mirror_Room.md,03_BUILDING/Rooms/PH2-0011_Mirror_Room.md,03_BUILDING,normalized,CORE,
PH2-0012,PH2-0012 — Airlock Countdown,Ritual,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0012_Airlock_Countdown.md,06_INTELLIGENCE/Behavior_Analysis/PH2-0012_Airlock_Countdown.md,06_INTELLIGENCE,normalized,CORE,
PH2-0013,PH2-0013 — Daily Operator Oath,Ritual,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0013_Daily_Operator_Oath.md,04_OPERATOR/Behavioral_Systems/PH2-0013_Daily_Operator_Oath.md,04_OPERATOR,normalized,CORE,
PH2-0014,PH2-0014 — Mission Clock,Interface,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0014_Mission_Clock.md,05_OPERATIONS/Mission_Lifecycle/PH2-0014_Mission_Clock.md,05_OPERATIONS,normalized,IMPORTANT,
PH2-0015,PH2-0015 — Heartbeat Mode,Environment,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0015_Heartbeat_Mode.md,03_BUILDING/Environmental_Systems/PH2-0015_Heartbeat_Mode.md,03_BUILDING,normalized,IMPORTANT,
PH2-0016,PH2-0016 — Situation Wall,Room,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0016_Situation_Wall.md,03_BUILDING/Rooms/PH2-0016_Situation_Wall.md,03_BUILDING,normalized,CORE,
PH2-0017,PH2-0017 — Psychological Decompression,Ritual,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0017_Psychological_Decompression.md,10_ENGINEERING/Architecture/PH2-0017_Psychological_Decompression.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0018,PH2-0018 — Dynamic Headquarters Threat Atmosphere,Environment,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0018_Dynamic_Headquarters_Threat_Atmosphere.md,10_ENGINEERING/Architecture/PH2-0018_Dynamic_Headquarters_Threat_Atmosphere.md,10_ENGINEERING,normalized,CORE,
PH2-0019,PH2-0019 — Mission Patches,Recognition,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0019_Mission_Patches.md,05_OPERATIONS/Mission_Lifecycle/PH2-0019_Mission_Patches.md,05_OPERATIONS,normalized,IMPORTANT,
PH2-0020,PH2-0020 — Hall of Fallen Missions,Archive/Room,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0020_Hall_of_Fallen_Missions.md,03_BUILDING/Rooms/PH2-0020_Hall_of_Fallen_Missions.md,03_BUILDING,normalized,IMPORTANT,
PH2-0021,PH2-0021 — Eternal Rules Wall,Constitution/Room,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0021_Eternal_Rules_Wall.md,01_CONSTITUTION/Principles/PH2-0021_Eternal_Rules_Wall.md,01_CONSTITUTION,normalized,CORE,
PH2-0022,PH2-0022 — Founder Oath,Ritual,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0022_Founder_Oath.md,12_LEGACY/Founder/PH2-0022_Founder_Oath.md,12_LEGACY,normalized,FOUNDATIONAL,
PH2-0023,PH2-0023 — Commander Career Memory,AI/Archives,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0023_Commander_Career_Memory.md,02_INSTITUTION/Departments/PH2-0023_Commander_Career_Memory.md,02_INSTITUTION,normalized,CORE,
PH2-0024,PH2-0024 — Headquarters Remembers Line,Culture,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0024_Headquarters_Remembers_Line.md,01_CONSTITUTION/Culture/PH2-0024_Headquarters_Remembers_Line.md,01_CONSTITUTION,normalized,IMPORTANT,
PH2-0025,PH2-0025 — Founder Notes and Questions,Legacy,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0025_Founder_Notes_and_Questions.md,12_LEGACY/Founder/PH2-0025_Founder_Notes_and_Questions.md,12_LEGACY,normalized,IMPORTANT,
PH2-0026,PH2-0026 — No Market Prediction Law,Constitution,13_PHASE_RECOVERY/Phase_01_to_02/Immersion/PH2-0026_No_Market_Prediction_Law.md,01_CONSTITUTION/Principles/PH2-0026_No_Market_Prediction_Law.md,01_CONSTITUTION,normalized,FOUNDATIONAL,
PH1-0001,PH1-0001 — SOP-001 Mission Start Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0001_SOP-001_Mission_Start_Procedure.md,05_OPERATIONS/Mission_Lifecycle/PH1-0001_SOP_001_Mission_Start_Procedure.md,05_OPERATIONS,normalized,CORE,
PH1-0002,PH1-0002 — SOP-002 Market Preparation Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0002_SOP-002_Market_Preparation_Procedure.md,10_ENGINEERING/Architecture/PH1-0002_SOP_002_Market_Preparation_Procedure.md,10_ENGINEERING,normalized,CORE,
PH1-0003,PH1-0003 — SOP-003 Standby Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0003_SOP-003_Standby_Procedure.md,10_ENGINEERING/Architecture/PH1-0003_SOP_003_Standby_Procedure.md,10_ENGINEERING,normalized,CORE,
PH1-0004,PH1-0004 — SOP-004 Mission Authorization,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0004_SOP-004_Mission_Authorization.md,05_OPERATIONS/Authorization/PH1-0004_SOP_004_Mission_Authorization.md,05_OPERATIONS,normalized,CORE,
PH1-0005,PH1-0005 — SOP-005 Trade Management,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0005_SOP-005_Trade_Management.md,10_ENGINEERING/Architecture/PH1-0005_SOP_005_Trade_Management.md,10_ENGINEERING,normalized,CORE,
PH1-0006,PH1-0006 — SOP-006 Losing Trade Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0006_SOP-006_Losing_Trade_Procedure.md,10_ENGINEERING/Architecture/PH1-0006_SOP_006_Losing_Trade_Procedure.md,10_ENGINEERING,normalized,CORE,
PH1-0007,PH1-0007 — SOP-007 Winning Trade Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0007_SOP-007_Winning_Trade_Procedure.md,10_ENGINEERING/Architecture/PH1-0007_SOP_007_Winning_Trade_Procedure.md,10_ENGINEERING,normalized,CORE,
PH1-0008,PH1-0008 — SOP-008 Profit Defense Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0008_SOP-008_Profit_Defense_Procedure.md,10_ENGINEERING/Architecture/PH1-0008_SOP_008_Profit_Defense_Procedure.md,10_ENGINEERING,normalized,CORE,
PH1-0009,PH1-0009 — SOP-009 Damage Control Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0009_SOP-009_Damage_Control_Procedure.md,10_ENGINEERING/Architecture/PH1-0009_SOP_009_Damage_Control_Procedure.md,10_ENGINEERING,normalized,CORE,
PH1-0010,PH1-0010 — SOP-010 Weekend Protocol,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0010_SOP-010_Weekend_Protocol.md,10_ENGINEERING/Architecture/PH1-0010_SOP_010_Weekend_Protocol.md,10_ENGINEERING,normalized,CORE,
PH1-0011,PH1-0011 — SOP-011 Drawdown Recovery Procedure,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0011_SOP-011_Drawdown_Recovery_Procedure.md,04_OPERATOR/Recovery/PH1-0011_SOP_011_Drawdown_Recovery_Procedure.md,04_OPERATOR,normalized,CORE,
PH1-0012,PH1-0012 — SOP-012 Winning Streak Protocol,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0012_SOP-012_Winning_Streak_Protocol.md,10_ENGINEERING/Architecture/PH1-0012_SOP_012_Winning_Streak_Protocol.md,10_ENGINEERING,normalized,CORE,
PH1-0013,PH1-0013 — SOP-013 Re-entry Protocol,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0013_SOP-013_Re-entry_Protocol.md,10_ENGINEERING/Architecture/PH1-0013_SOP_013_Re_entry_Protocol.md,10_ENGINEERING,normalized,CORE,
PH1-0014,PH1-0014 — SOP-014 Missed Trade Protocol,SOP,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0014_SOP-014_Missed_Trade_Protocol.md,10_ENGINEERING/Architecture/PH1-0014_SOP_014_Missed_Trade_Protocol.md,10_ENGINEERING,normalized,CORE,
PH1-0015,PH1-0015 — SOP Versioning,Doctrine,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0015_SOP_Versioning.md,08_ARCHIVES/Doctrine/PH1-0015_SOP_Versioning.md,08_ARCHIVES,normalized,CORE,
PH1-0016,PH1-0016 — Rule Provenance,Doctrine,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0016_Rule_Provenance.md,08_ARCHIVES/Doctrine/PH1-0016_Rule_Provenance.md,08_ARCHIVES,normalized,CORE,
PH1-0017,PH1-0017 — Rule Book Living Operations Manual,Doctrine,13_PHASE_RECOVERY/Phase_01_to_02/PH1-0017_Rule_Book_Living_Operations_Manual.md,08_ARCHIVES/Doctrine/PH1-0017_Rule_Book_Living_Operations_Manual.md,08_ARCHIVES,normalized,CORE,
PH2-0001,PH2-0001 — Four Command Structure,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0001_Four_Command_Structure.md,02_INSTITUTION/Departments/PH2-0001_Four_Command_Structure.md,02_INSTITUTION,normalized,CORE,
PH2-0002,PH2-0002 — Commander Strategic Role,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0002_Commander_Strategic_Role.md,02_INSTITUTION/Departments/PH2-0002_Commander_Strategic_Role.md,02_INSTITUTION,normalized,CORE,
PH2-0003,PH2-0003 — Operations Officer Procedural Role,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0003_Operations_Officer_Procedural_Role.md,02_INSTITUTION/Departments/PH2-0003_Operations_Officer_Procedural_Role.md,02_INSTITUTION,normalized,CORE,
PH2-0004,PH2-0004 — Intelligence Officer Pattern Role,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0004_Intelligence_Officer_Pattern_Role.md,02_INSTITUTION/Departments/PH2-0004_Intelligence_Officer_Pattern_Role.md,02_INSTITUTION,normalized,IMPORTANT,
PH2-0005,PH2-0005 — Medical Officer Recovery Role,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0005_Medical_Officer_Recovery_Role.md,02_INSTITUTION/Departments/PH2-0005_Medical_Officer_Recovery_Role.md,02_INSTITUTION,normalized,CORE,
PH2-0006,PH2-0006 — Historian Memory Role,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0006_Historian_Memory_Role.md,02_INSTITUTION/Departments/PH2-0006_Historian_Memory_Role.md,02_INSTITUTION,normalized,CORE,
PH2-0007,PH2-0007 — Archives Structure,Archives,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0007_Archives_Structure.md,08_ARCHIVES/Memory_Objects/PH2-0007_Archives_Structure.md,08_ARCHIVES,normalized,CORE,
PH2-0008,PH2-0008 — Dispatches Instead of Notifications,Interface,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0008_Dispatches_Instead_of_Notifications.md,09_INTERFACE/Screens/PH2-0008_Dispatches_Instead_of_Notifications.md,09_INTERFACE,normalized,IMPORTANT,
PH2-0009,PH2-0009 — Mission Report,Operations,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0009_Mission_Report.md,05_OPERATIONS/Mission_Lifecycle/PH2-0009_Mission_Report.md,05_OPERATIONS,normalized,CORE,
PH2-0010,PH2-0010 — Self-Aware Headquarters,Institution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0010_Self-Aware_Headquarters.md,02_INSTITUTION/Departments/PH2-0010_Self_Aware_Headquarters.md,02_INSTITUTION,normalized,IMPORTANT,
PH2-0011,PH2-0011 — Dynamic Doctrine Retirement,Doctrine,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0011_Dynamic_Doctrine_Retirement.md,08_ARCHIVES/Doctrine/PH2-0011_Dynamic_Doctrine_Retirement.md,08_ARCHIVES,normalized,IMPORTANT,
PH2-0012,PH2-0012 — Preserve Professional Joe Mission,Constitution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0012_Preserve_Professional_Joe_Mission.md,01_CONSTITUTION/Principles/PH2-0012_Preserve_Professional_Joe_Mission.md,01_CONSTITUTION,normalized,FOUNDATIONAL,
PH2-0013,PH2-0013 — Headquarters Has Weight,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0013_Headquarters_Has_Weight.md,10_ENGINEERING/Architecture/PH2-0013_Headquarters_Has_Weight.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0014,PH2-0014 — Headquarters Exists Without You,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0014_Headquarters_Exists_Without_You.md,10_ENGINEERING/Architecture/PH2-0014_Headquarters_Exists_Without_You.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0015,PH2-0015 — Shift Change Ritual,Ceremony,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0015_Shift_Change_Ritual.md,10_ENGINEERING/Architecture/PH2-0015_Shift_Change_Ritual.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0016,PH2-0016 — Watch Floor,Room,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0016_Watch_Floor.md,03_BUILDING/Rooms/PH2-0016_Watch_Floor.md,03_BUILDING,normalized,IMPORTANT,
PH2-0017,PH2-0017 — Capital Deployment Language,Language,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0017_Capital_Deployment_Language.md,05_OPERATIONS/Authorization/PH2-0017_Capital_Deployment_Language.md,05_OPERATIONS,normalized,CORE,
PH2-0018,PH2-0018 — Mission Capital Terminology,Language,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0018_Mission_Capital_Terminology.md,05_OPERATIONS/Mission_Lifecycle/PH2-0018_Mission_Capital_Terminology.md,05_OPERATIONS,normalized,CORE,
PH2-0019,PH2-0019 — Situation Clock,Interface,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0019_Situation_Clock.md,09_INTERFACE/Screens/PH2-0019_Situation_Clock.md,09_INTERFACE,normalized,IMPORTANT,
PH2-0020,PH2-0020 — Operator Presence Detection,Behavior,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0020_Operator_Presence_Detection.md,04_OPERATOR/Behavioral_Systems/PH2-0020_Operator_Presence_Detection.md,04_OPERATOR,normalized,IMPORTANT,
PH2-0021,PH2-0021 — Environmental Psychology State,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0021_Environmental_Psychology_State.md,03_BUILDING/Environmental_Systems/PH2-0021_Environmental_Psychology_State.md,03_BUILDING,normalized,IMPORTANT,
PH2-0022,PH2-0022 — Headquarters Never Panics,Constitution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0022_Headquarters_Never_Panics.md,01_CONSTITUTION/Principles/PH2-0022_Headquarters_Never_Panics.md,01_CONSTITUTION,normalized,FOUNDATIONAL,
PH2-0023,PH2-0023 — Tactical Corridor Doctrines,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0023_Tactical_Corridor_Doctrines.md,03_BUILDING/Rooms/PH2-0023_Tactical_Corridor_Doctrines.md,03_BUILDING,normalized,IMPORTANT,
PH2-0024,PH2-0024 — No Good Luck Rule,Language,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0024_No_Good_Luck_Rule.md,10_ENGINEERING/Architecture/PH2-0024_No_Good_Luck_Rule.md,10_ENGINEERING,normalized,FOUNDATIONAL,
PH2-0025,PH2-0025 — Cost of Breaking Doctrine Display,Interface,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0025_Cost_of_Breaking_Doctrine_Display.md,08_ARCHIVES/Doctrine/PH2-0025_Cost_of_Breaking_Doctrine_Display.md,08_ARCHIVES,normalized,IMPORTANT,
PH2-0026,PH2-0026 — Operator Shadow,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0026_Operator_Shadow.md,04_OPERATOR/Behavioral_Systems/PH2-0026_Operator_Shadow.md,04_OPERATOR,normalized,OPTIONAL,
PH2-0027,PH2-0027 — Morning Arrival Ritual,Ceremony,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0027_Morning_Arrival_Ritual.md,10_ENGINEERING/Architecture/PH2-0027_Morning_Arrival_Ritual.md,10_ENGINEERING,normalized,CORE,
PH2-0028,PH2-0028 — Mission Readiness Report,Operations,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0028_Mission_Readiness_Report.md,05_OPERATIONS/Mission_Lifecycle/PH2-0028_Mission_Readiness_Report.md,05_OPERATIONS,normalized,CORE,
PH2-0029,PH2-0029 — Deployment Ritual,Ceremony,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0029_Deployment_Ritual.md,05_OPERATIONS/Authorization/PH2-0029_Deployment_Ritual.md,05_OPERATIONS,normalized,CORE,
PH2-0030,PH2-0030 — Unconscious Tactical Breathing,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0030_Unconscious_Tactical_Breathing.md,03_BUILDING/Environmental_Systems/PH2-0030_Unconscious_Tactical_Breathing.md,03_BUILDING,normalized,IMPORTANT,
PH2-0031,PH2-0031 — Patience Acknowledgement,Behavior,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0031_Patience_Acknowledgement.md,04_OPERATOR/Behavioral_Systems/PH2-0031_Patience_Acknowledgement.md,04_OPERATOR,normalized,CORE,
PH2-0032,PH2-0032 — Discipline Ledger,Operations,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0032_Discipline_Ledger.md,10_ENGINEERING/Architecture/PH2-0032_Discipline_Ledger.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0033,PH2-0033 — Mission Temperature,Behavior,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0033_Mission_Temperature.md,04_OPERATOR/Behavioral_Systems/PH2-0033_Mission_Temperature.md,04_OPERATOR,normalized,IMPORTANT,
PH2-0034,PH2-0034 — Ready Chair Identity Question,Identity,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0034_Ready_Chair_Identity_Question.md,03_BUILDING/Symbolic_Objects/PH2-0034_Ready_Chair_Identity_Question.md,03_BUILDING,normalized,IMPORTANT,
PH2-0035,PH2-0035 — Future Operator,Identity,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0035_Future_Operator.md,04_OPERATOR/Identity/PH2-0035_Future_Operator.md,04_OPERATOR,normalized,IMPORTANT,
PH2-0036,PH2-0036 — Legacy Scale,Legacy,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0036_Legacy_Scale.md,12_LEGACY/Long_Term/PH2-0036_Legacy_Scale.md,12_LEGACY,normalized,IMPORTANT,
PH2-0037,PH2-0037 — Mission Seal,Archives,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0037_Mission_Seal.md,05_OPERATIONS/Mission_Lifecycle/PH2-0037_Mission_Seal.md,05_OPERATIONS,normalized,IMPORTANT,
PH2-0038,PH2-0038 — Courage Documented,Recognition,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0038_Courage_Documented.md,10_ENGINEERING/Architecture/PH2-0038_Courage_Documented.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0039,PH2-0039 — Uphold The Institution Question,Debrief,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0039_Uphold_The_Institution_Question.md,02_INSTITUTION/Departments/PH2-0039_Uphold_The_Institution_Question.md,02_INSTITUTION,normalized,CORE,
PH2-0040,PH2-0040 — Founders Office Origin Plaque,Legacy,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0040_Founders_Office_Origin_Plaque.md,03_BUILDING/Rooms/PH2-0040_Founders_Office_Origin_Plaque.md,03_BUILDING,normalized,IMPORTANT,
PH2-0041,PH2-0041 — Headquarters Preamble,Constitution,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0041_Headquarters_Preamble.md,01_CONSTITUTION/Principles/PH2-0041_Headquarters_Preamble.md,01_CONSTITUTION,normalized,FOUNDATIONAL,
PH2-0042,PH2-0042 — Calm Reinforcement Messages,AI,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0042_Calm_Reinforcement_Messages.md,06_INTELLIGENCE/Behavior_Analysis/PH2-0042_Calm_Reinforcement_Messages.md,06_INTELLIGENCE,normalized,IMPORTANT,
PH2-0043,PH2-0043 — Patience Meter Internal,Behavior,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0043_Patience_Meter_Internal.md,04_OPERATOR/Behavioral_Systems/PH2-0043_Patience_Meter_Internal.md,04_OPERATOR,normalized,IMPORTANT,
PH2-0044,PH2-0044 — Pulse System,Environment,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0044_Pulse_System.md,10_ENGINEERING/Architecture/PH2-0044_Pulse_System.md,10_ENGINEERING,normalized,IMPORTANT,
PH2-0045,PH2-0045 — Synchronization Moment,Experience,13_PHASE_RECOVERY/Phase_02_to_03/PH2-0045_Synchronization_Moment.md,10_ENGINEERING/Architecture/PH2-0045_Synchronization_Moment.md,10_ENGINEERING,normalized,IMPORTANT,
